elev_threshold,elev_unit,pct_total_above_threshold,pct_land_above_threshold
13800,ft,0.434678229058954,1.49025537174458
14000,ft,0.415602303246228,1.42485623370805
14200,ft,0.395950866079141,1.35748407911135
14400,ft,0.376041288824181,1.28922645193853
14600,ft,0.355399597411824,1.21845836378366
14800,ft,0.33372446996073,1.14414766581387
15000,ft,0.309693626474113,1.06175986810975
15200,ft,0.285426633740134,0.978562448500765
15400,ft,0.261570139444645,0.896772737749591
15600,ft,0.237665651806722,0.814818513531421
15800,ft,0.214289225686265,0.734674798555649
16000,ft,0.189875744627642,0.650974925247833
16200,ft,0.1642967942402,0.563279432409507
16400,ft,0.139414290416636,0.47797166004873
16600,ft,0.116839333628105,0.400575415178432
16800,ft,0.096683633072124,0.331473086133302
17000,ft,0.079325950828467,0.271963575787294
17200,ft,0.06462722643918,0.221569982023561
17400,ft,0.052409178336538,0.179681363677221
17600,ft,0.0422681903799,0.144913664527611
17800,ft,0.033916007411761,0.1162787636757
18000,ft,0.027123487513298,0.092991063373983
18200,ft,0.021613626035886,0.07410087170609
18400,ft,0.017117030245989,0.058684593697577
18600,ft,0.013434899004864,0.046060652936754
18800,ft,0.010441348221035,0.035797464233023
19000,ft,0.008017547296034,0.027487624824939
19200,ft,0.006093950275468,0.020892701057934
19400,ft,0.004604823999932,0.015787331190128
19600,ft,0.003463007376428,0.011872689242049
19800,ft,0.002598444365257,0.008908592765768
20000,ft,0.001957966605431,0.006712757590648
20200,ft,0.0014781403959,0.005067705514026
20400,ft,0.001114070449964,0.003819516047298
20600,ft,0.000847610722118,0.002905976686747
20800,ft,0.000652213084303,0.002236068950425
21000,ft,0.000507628492696,0.001740370345503
21200,ft,0.000402565240024,0.001380168008591
21400,ft,0.000323555723718,0.001109289164769
21600,ft,0.000264688692071,0.00090746748281
21800,ft,0.000216914340476,0.000743676312717
22000,ft,0.000179950369969,0.000616947811367
22200,ft,0.000150763761212,0.000516883474757
22400,ft,0.000126067169572,0.000432212861614
22600,ft,0.000107026638534,0.000366933674063
22800,ft,8.87290377885291E-05,0.000304201573343
23000,ft,7.39665394125085E-05,0.00025358933473
23200,ft,6.15748113495945E-05,0.000211105123618
23400,ft,5.06997527477053E-05,0.000173820712344
23600,ft,4.10501311572789E-05,0.000140737629926
23800,ft,3.37725634520471E-05,0.000115786975651
24000,ft,2.7248452588696E-05,9.34194977794116E-05
24200,ft,2.26037901984975E-05,7.74955833319809E-05
24400,ft,1.84142485096074E-05,6.31320197781233E-05
24600,ft,1.44514114566464E-05,4.95456979103322E-05
24800,ft,1.13975322342143E-05,3.90756771886075E-05
25000,ft,8.69847261817476E-06,2.98221317629963E-05
25200,ft,7.15236279422935E-06,2.45213976095746E-05
25400,ft,5.36816606971841E-06,1.84043984368351E-05
25600,ft,4.27674908971884E-06,1.46625482966264E-05
25800,ft,3.11327274771338E-06,1.06736474519059E-05
26000,ft,2.60928507103484E-06,8.94575940068295E-06
26200,ft,1.96665587398148E-06,6.74254816688189E-06
26400,ft,1.55663637385669E-06,5.33682372595295E-06
26600,ft,1.29073559774367E-06,4.42520069404767E-06
26800,ft,9.91543742446193E-07,3.39944142310925E-06
27000,ft,4.93033269404613E-07,1.69033159833186E-06
27200,ft,3.37960138118906E-07,1.15867373641711E-06
27400,ft,2.21655289654625E-07,7.59930339981045E-07
27600,ft,1.88364210470166E-07,6.45794100947897E-07
27800,ft,1.1630484846428E-07,3.98743396436062E-07
28000,ft,3.87682828214268E-08,1.32914465478687E-07
28200,ft,0,0
28400,ft,0,0
28600,ft,0,0
28800,ft,0,0
29000,ft,0,0
29200,ft,0,0
