elev_threshold,elev_unit,n_total,n_total_above_threshold,pct_total_above_threshold,n_land,n_land_above_threshold,pct_land_above_threshold
-3800,m,3732480000,2423963164,64.94242873371056,1271851649,1271851649,100.0
-3700,m,3732480000,2357483375,63.16131298761145,1271851649,1271851649,100.0
-3600,m,3732480000,2295207912,61.49283886316872,1271851649,1271851649,100.0
-3500,m,3732480000,2238107958,59.963026138117286,1271851649,1271851649,100.0
-3400,m,3732480000,2186502856,58.580430598422495,1271851649,1271851649,100.0
-3300,m,3732480000,2138111487,57.283936873070985,1271851649,1271851649,100.0
-3200,m,3732480000,2091632024,56.03866662379973,1271851649,1271851649,100.0
-3100,m,3732480000,2051027306,54.95079159164952,1271851649,1271851649,100.0
-3000,m,3732480000,2015138198,53.98925641932442,1271851649,1271851649,100.0
-2900,m,3732480000,1982485926,53.11444203317901,1271851649,1271851649,100.0
-2800,m,3732480000,1951109763,52.2738169528035,1271851649,1271851649,100.0
-2700,m,3732480000,1921145313,51.47101425861626,1271851649,1271851649,100.0
-2600,m,3732480000,1895228069,50.77664365247771,1271851649,1271851649,100.0
-2500,m,3732480000,1872344593,50.16355326753258,1271851649,1271851649,100.0
-2400,m,3732480000,1850821267,49.58690380122599,1271851649,1271851649,100.0
-2300,m,3732480000,1831544550,49.070445119598766,1271851649,1271851649,100.0
-2200,m,3732480000,1813138959,48.57732550475823,1271851649,1271851649,100.0
-2100,m,3732480000,1795410571,48.102349403077845,1271851649,1271851649,100.0
-2000,m,3732480000,1778445752,47.64783071844993,1271851649,1271851649,100.0
-1900,m,3732480000,1763027795,47.23475531014232,1271851649,1271851649,100.0
-1800,m,3732480000,1748283049,46.83971646197703,1271851649,1271851649,100.0
-1700,m,3732480000,1734103856,46.45982981824417,1271851649,1271851649,100.0
-1600,m,3732480000,1720845290,46.1046084640775,1271851649,1271851649,100.0
-1500,m,3732480000,1708184666,45.76540707518861,1271851649,1271851649,100.0
-1400,m,3732480000,1695735635,45.4318746517061,1271851649,1271851649,100.0
-1300,m,3732480000,1683178615,45.09544900441529,1271851649,1271851649,100.0
-1200,m,3732480000,1671393406,44.77970159250686,1271851649,1271851649,100.0
-1100,m,3732480000,1659767877,44.46823230131173,1271851649,1271851649,100.0
-1000,m,3732480000,1649723291,44.19911937907236,1271851649,1271851649,100.0
-900,m,3732480000,1640125133,43.94196708354767,1271851649,1271851649,100.0
-800,m,3732480000,1629977756,43.670100201474625,1271851649,1271851649,100.0
-700,m,3732480000,1618907879,43.373517848722564,1271851649,1271851649,100.0
-600,m,3732480000,1605032851,43.00178034443587,1271851649,1271851649,100.0
-500,m,3732480000,1584315274,42.44671837491427,1271851649,1271851649,100.0
-400,m,3732480000,1557445643,41.726831570430384,1271851649,1271829952,99.99829406204591
-300,m,3732480000,1525789708,40.87871088391633,1271851649,1271719977,99.98964722024746
-200,m,3732480000,1486453279,39.824815645361795,1271851649,1271587148,99.9792034707658
-100,m,3732480000,1425654427,38.195902643818584,1271851649,1271308797,99.95731797804982
0,m,3732480000,1271330831,34.061289839463306,1271851649,1266316529,99.56479829983694
100,m,3732480000,1088729895,29.16907511895576,1271851649,1087599855,85.51310648967048
200,m,3732480000,947397419,25.382518298825445,1271851649,946358963,74.40796760723467
300,m,3732480000,842394358,22.56929328489369,1271851649,841420897,66.1571573745705
400,m,3732480000,749768755,20.087683122213647,1271851649,748852031,58.87888195048446
500,m,3732480000,676257104,18.118170867626887,1271851649,675390026,53.10289344917145
600,m,3732480000,623116512,16.69443672839506,1271851649,622297454,48.92846225338345
700,m,3732480000,581743711,15.585983340835048,1271851649,580967817,45.67889796398731
800,m,3732480000,547525287,14.669208863811729,1271851649,546793017,42.991886469614506
900,m,3732480000,517575486,13.866798643261317,1271851649,516900688,40.64158649370906
1000,m,3732480000,488803799,13.095952262302813,1271851649,488170468,38.38265794472387
1100,m,3732480000,461173229,12.355678503300755,1271851649,460575611,36.21299790444349
1200,m,3732480000,435051247,11.655822589806242,1271851649,434486442,34.16172336935815
1300,m,3732480000,412395841,11.04884261938443,1271851649,411873958,32.38380500774898
1400,m,3732480000,392142013,10.50620533800583,1271851649,391663963,30.794783598224512
1500,m,3732480000,374556780,10.03506462191358,1271851649,374119531,29.41534347139884
1600,m,3732480000,358362968,9.601202632030178,1271851649,357974435,28.1459268682365
1700,m,3732480000,343387913,9.19999338241598,1271851649,343044739,26.972071724695308
1800,m,3732480000,328920774,8.812392136059671,1271851649,328620596,25.837965949753627
1900,m,3732480000,315066138,8.441200970936213,1271851649,314811197,24.75219474280054
2000,m,3732480000,301597645,8.080355286565501,1271851649,301382115,23.69632615855499
2100,m,3732480000,288082340,7.718255422668038,1271851649,287903136,22.63653439663072
2200,m,3732480000,274673469,7.359007121270576,1271851649,274526778,21.584811264415006
2300,m,3732480000,261246500,6.999273941186557,1271851649,261127444,20.531281632202372
2400,m,3732480000,246501019,6.604215401020233,1271851649,246404227,19.373661007849194
2500,m,3732480000,230048337,6.163417807998971,1271851649,229969465,18.081469264187746
2600,m,3732480000,212088888,5.682251157407407,1271851649,212025632,16.67062602518983
2700,m,3732480000,192483757,5.156993661051097,1271851649,192433663,15.130197232617654
2800,m,3732480000,169648158,4.54518598894033,1271851649,169609283,13.335618437366982
2900,m,3732480000,142665089,3.8222599719221537,1271851649,142635733,11.214808984377077
3000,m,3732480000,122251847,3.275351696459191,1271851649,122230245,9.610416835650932
3100,m,3732480000,95970865,2.571235880701303,1271851649,95956058,7.544595163708436
3200,m,3732480000,80021337,2.1439187082047324,1271851649,80011831,6.290971990554851
3300,m,3732480000,67812099,1.8168107799639919,1271851649,67806048,5.3312859289299075
3400,m,3732480000,57359653,1.5367705386231139,1271851649,57355859,4.509634362238422
3500,m,3732480000,47397906,1.269877025462963,1271851649,47395665,3.726508908272839
3600,m,3732480000,37612901,1.0077187553583675,1271851649,37611591,2.957230981268319
3700,m,3732480000,28575421,0.7655880540552126,1271851649,28574693,2.2467001574017695
3800,m,3732480000,21233143,0.5688749303412208,1271851649,21232711,1.6694329890356576
3900,m,3732480000,17629028,0.4723140646433471,1271851649,17628769,1.386071167487239
4000,m,3732480000,15017793,0.4023542791923868,1271851649,15017628,1.1807688429548908
4100,m,3732480000,13421760,0.35959362139917694,1271851649,13421638,1.0552832958586666
4200,m,3732480000,12590101,0.3373119480881344,1271851649,12590014,0.9898964246261711
4300,m,3732480000,11703980,0.31357113768861455,1271851649,11703913,0.9202262708235086
4400,m,3732480000,10787240,0.2890099879972565,1271851649,10787190,0.8481484462815678
4500,m,3732480000,9806133,0.26272432806069956,1271851649,9806094,0.7710092610022633
4600,m,3732480000,8687768,0.23276127400548696,1271851649,8687736,0.6830777793016015
4700,m,3732480000,7562905,0.2026241265860768,1271851649,7562880,0.5946353889580089
