,xmin,ymin,xmax,ymax,numgranules,is_downloaded,geometry
54,-126,-89,-125,-88,0,False,"POLYGON ((-125 -89, -125 -88, -126 -88, -126 -89, -125 -89))"
55,-125,-89,-124,-88,0,False,"POLYGON ((-124 -89, -124 -88, -125 -88, -125 -89, -124 -89))"
56,-124,-89,-123,-88,0,False,"POLYGON ((-123 -89, -123 -88, -124 -88, -124 -89, -123 -89))"
57,-123,-89,-122,-88,0,False,"POLYGON ((-122 -89, -122 -88, -123 -88, -123 -89, -122 -89))"
58,-122,-89,-121,-88,0,False,"POLYGON ((-121 -89, -121 -88, -122 -88, -122 -89, -121 -89))"
59,-121,-89,-120,-88,0,False,"POLYGON ((-120 -89, -120 -88, -121 -88, -121 -89, -120 -89))"
60,-120,-89,-119,-88,0,False,"POLYGON ((-119 -89, -119 -88, -120 -88, -120 -89, -119 -89))"
61,-119,-89,-118,-88,0,False,"POLYGON ((-118 -89, -118 -88, -119 -88, -119 -89, -118 -89))"
62,-118,-89,-117,-88,0,False,"POLYGON ((-117 -89, -117 -88, -118 -88, -118 -89, -117 -89))"
63,-117,-89,-116,-88,0,False,"POLYGON ((-116 -89, -116 -88, -117 -88, -117 -89, -116 -89))"
64,-116,-89,-115,-88,0,False,"POLYGON ((-115 -89, -115 -88, -116 -88, -116 -89, -115 -89))"
65,-115,-89,-114,-88,0,False,"POLYGON ((-114 -89, -114 -88, -115 -88, -115 -89, -114 -89))"
66,-114,-89,-113,-88,0,False,"POLYGON ((-113 -89, -113 -88, -114 -88, -114 -89, -113 -89))"
67,-113,-89,-112,-88,0,False,"POLYGON ((-112 -89, -112 -88, -113 -88, -113 -89, -112 -89))"
68,-112,-89,-111,-88,0,False,"POLYGON ((-111 -89, -111 -88, -112 -88, -112 -89, -111 -89))"
69,-111,-89,-110,-88,0,False,"POLYGON ((-110 -89, -110 -88, -111 -88, -111 -89, -110 -89))"
70,-110,-89,-109,-88,0,False,"POLYGON ((-109 -89, -109 -88, -110 -88, -110 -89, -109 -89))"
71,-109,-89,-108,-88,0,False,"POLYGON ((-108 -89, -108 -88, -109 -88, -109 -89, -108 -89))"
72,-108,-89,-107,-88,0,False,"POLYGON ((-107 -89, -107 -88, -108 -88, -108 -89, -107 -89))"
73,-107,-89,-106,-88,0,False,"POLYGON ((-106 -89, -106 -88, -107 -88, -107 -89, -106 -89))"
74,-106,-89,-105,-88,0,False,"POLYGON ((-105 -89, -105 -88, -106 -88, -106 -89, -105 -89))"
